SuperWEB2(tm)

"Всероссийская перепись населения 2002 года"
"Наименование территориальной единицы и Год рождения по Лицо"
"Подсчет: Лицо"

"Наименование территориальной единицы";"Год рождения";"Counting";
"Московская область";"Год рождения не указан";"Лицо";0
"Московская область";"До 1903 года";"Лицо";0
"Московская область";"1903";"Лицо";0
"Московская область";"1904";"Лицо";0
"Московская область";"1905";"Лицо";0
"Московская область";"1906";"Лицо";0
"Московская область";"1907";"Лицо";0
"Московская область";"1908";"Лицо";0
"Московская область";"1909";"Лицо";0
"Московская область";"1910";"Лицо";0
"Московская область";"1911";"Лицо";0
"Московская область";"1912";"Лицо";0
"Московская область";"1913";"Лицо";0
"Московская область";"1914";"Лицо";0
"Московская область";"1915";"Лицо";0
"Московская область";"1916";"Лицо";0
"Московская область";"1917";"Лицо";0
"Московская область";"1918";"Лицо";0
"Московская область";"1919";"Лицо";0
"Московская область";"1920";"Лицо";0
"Московская область";"1921";"Лицо";0
"Московская область";"1922";"Лицо";0
"Московская область";"1923";"Лицо";0
"Московская область";"1924";"Лицо";0
"Московская область";"1925";"Лицо";0
"Московская область";"1926";"Лицо";0
"Московская область";"1927";"Лицо";0
"Московская область";"1928";"Лицо";0
"Московская область";"1929";"Лицо";0
"Московская область";"1930";"Лицо";0
"Московская область";"1931";"Лицо";0
"Московская область";"1932";"Лицо";0
"Московская область";"1933";"Лицо";0
"Московская область";"1934";"Лицо";0
"Московская область";"1935";"Лицо";0
"Московская область";"1936";"Лицо";0
"Московская область";"1937";"Лицо";0
"Московская область";"1938";"Лицо";0
"Московская область";"1939";"Лицо";0
"Московская область";"1940";"Лицо";0
"Московская область";"1941";"Лицо";0
"Московская область";"1942";"Лицо";0
"Московская область";"1943";"Лицо";0
"Московская область";"1944";"Лицо";0
"Московская область";"1945";"Лицо";0
"Московская область";"1946";"Лицо";0
"Московская область";"1947";"Лицо";0
"Московская область";"1948";"Лицо";0
"Московская область";"1949";"Лицо";0
"Московская область";"1950";"Лицо";0
"Московская область";"1951";"Лицо";0
"Московская область";"1952";"Лицо";0
"Московская область";"1953";"Лицо";0
"Московская область";"1954";"Лицо";0
"Московская область";"1955";"Лицо";0
"Московская область";"1956";"Лицо";0
"Московская область";"1957";"Лицо";0
"Московская область";"1958";"Лицо";0
"Московская область";"1959";"Лицо";0
"Московская область";"1960";"Лицо";0
"Московская область";"1961";"Лицо";0
"Московская область";"1962";"Лицо";0
"Московская область";"1963";"Лицо";0
"Московская область";"1964";"Лицо";0
"Московская область";"1965";"Лицо";0
"Московская область";"1966";"Лицо";0
"Московская область";"1967";"Лицо";0
"Московская область";"1968";"Лицо";0
"Московская область";"1969";"Лицо";0
"Московская область";"1970";"Лицо";0
"Московская область";"1971";"Лицо";0
"Московская область";"1972";"Лицо";0
"Московская область";"1973";"Лицо";0
"Московская область";"1974";"Лицо";0
"Московская область";"1975";"Лицо";0
"Московская область";"1976";"Лицо";0
"Московская область";"1977";"Лицо";0
"Московская область";"1978";"Лицо";0
"Московская область";"1979";"Лицо";0
"Московская область";"1980";"Лицо";0
"Московская область";"1981";"Лицо";0
"Московская область";"1982";"Лицо";0
"Московская область";"1983";"Лицо";0
"Московская область";"1984";"Лицо";0
"Московская область";"1985";"Лицо";0
"Московская область";"1986";"Лицо";0
"Московская область";"1987";"Лицо";0
"Московская область";"1988";"Лицо";0
"Московская область";"1989";"Лицо";0
"Московская область";"1990";"Лицо";0
"Московская область";"1991";"Лицо";0
"Московская область";"1992";"Лицо";0
"Московская область";"1993";"Лицо";0
"Московская область";"1994";"Лицо";0
"Московская область";"1995";"Лицо";0
"Московская область";"1996";"Лицо";0
"Московская область";"1997";"Лицо";0
"Московская область";"1998";"Лицо";0
"Московская область";"1999";"Лицо";0
"Московская область";"2000";"Лицо";0
"Московская область";"2001";"Лицо";0
"Московская область";"2002";"Лицо";0
"Районы Московской области";"Год рождения не указан";"Лицо";0
"Районы Московской области";"До 1903 года";"Лицо";0
"Районы Московской области";"1903";"Лицо";0
"Районы Московской области";"1904";"Лицо";0
"Районы Московской области";"1905";"Лицо";0
"Районы Московской области";"1906";"Лицо";0
"Районы Московской области";"1907";"Лицо";0
"Районы Московской области";"1908";"Лицо";0
"Районы Московской области";"1909";"Лицо";0
"Районы Московской области";"1910";"Лицо";0
"Районы Московской области";"1911";"Лицо";0
"Районы Московской области";"1912";"Лицо";0
"Районы Московской области";"1913";"Лицо";0
"Районы Московской области";"1914";"Лицо";0
"Районы Московской области";"1915";"Лицо";0
"Районы Московской области";"1916";"Лицо";0
"Районы Московской области";"1917";"Лицо";0
"Районы Московской области";"1918";"Лицо";0
"Районы Московской области";"1919";"Лицо";0
"Районы Московской области";"1920";"Лицо";0
"Районы Московской области";"1921";"Лицо";0
"Районы Московской области";"1922";"Лицо";0
"Районы Московской области";"1923";"Лицо";0
"Районы Московской области";"1924";"Лицо";0
"Районы Московской области";"1925";"Лицо";0
"Районы Московской области";"1926";"Лицо";0
"Районы Московской области";"1927";"Лицо";0
"Районы Московской области";"1928";"Лицо";0
"Районы Московской области";"1929";"Лицо";0
"Районы Московской области";"1930";"Лицо";0
"Районы Московской области";"1931";"Лицо";0
"Районы Московской области";"1932";"Лицо";0
"Районы Московской области";"1933";"Лицо";0
"Районы Московской области";"1934";"Лицо";0
"Районы Московской области";"1935";"Лицо";0
"Районы Московской области";"1936";"Лицо";0
"Районы Московской области";"1937";"Лицо";0
"Районы Московской области";"1938";"Лицо";0
"Районы Московской области";"1939";"Лицо";0
"Районы Московской области";"1940";"Лицо";0
"Районы Московской области";"1941";"Лицо";0
"Районы Московской области";"1942";"Лицо";0
"Районы Московской области";"1943";"Лицо";0
"Районы Московской области";"1944";"Лицо";0
"Районы Московской области";"1945";"Лицо";0
"Районы Московской области";"1946";"Лицо";0
"Районы Московской области";"1947";"Лицо";0
"Районы Московской области";"1948";"Лицо";0
"Районы Московской области";"1949";"Лицо";0
"Районы Московской области";"1950";"Лицо";0
"Районы Московской области";"1951";"Лицо";0
"Районы Московской области";"1952";"Лицо";0
"Районы Московской области";"1953";"Лицо";0
"Районы Московской области";"1954";"Лицо";0
"Районы Московской области";"1955";"Лицо";0
"Районы Московской области";"1956";"Лицо";0
"Районы Московской области";"1957";"Лицо";0
"Районы Московской области";"1958";"Лицо";0
"Районы Московской области";"1959";"Лицо";0
"Районы Московской области";"1960";"Лицо";0
"Районы Московской области";"1961";"Лицо";0
"Районы Московской области";"1962";"Лицо";0
"Районы Московской области";"1963";"Лицо";0
"Районы Московской области";"1964";"Лицо";0
"Районы Московской области";"1965";"Лицо";0
"Районы Московской области";"1966";"Лицо";0
"Районы Московской области";"1967";"Лицо";0
"Районы Московской области";"1968";"Лицо";0
"Районы Московской области";"1969";"Лицо";0
"Районы Московской области";"1970";"Лицо";0
"Районы Московской области";"1971";"Лицо";0
"Районы Московской области";"1972";"Лицо";0
"Районы Московской области";"1973";"Лицо";0
"Районы Московской области";"1974";"Лицо";0
"Районы Московской области";"1975";"Лицо";0
"Районы Московской области";"1976";"Лицо";0
"Районы Московской области";"1977";"Лицо";0
"Районы Московской области";"1978";"Лицо";0
"Районы Московской области";"1979";"Лицо";0
"Районы Московской области";"1980";"Лицо";0
"Районы Московской области";"1981";"Лицо";0
"Районы Московской области";"1982";"Лицо";0
"Районы Московской области";"1983";"Лицо";0
"Районы Московской области";"1984";"Лицо";0
"Районы Московской области";"1985";"Лицо";0
"Районы Московской области";"1986";"Лицо";0
"Районы Московской области";"1987";"Лицо";0
"Районы Московской области";"1988";"Лицо";0
"Районы Московской области";"1989";"Лицо";0
"Районы Московской области";"1990";"Лицо";0
"Районы Московской области";"1991";"Лицо";0
"Районы Московской области";"1992";"Лицо";0
"Районы Московской области";"1993";"Лицо";0
"Районы Московской области";"1994";"Лицо";0
"Районы Московской области";"1995";"Лицо";0
"Районы Московской области";"1996";"Лицо";0
"Районы Московской области";"1997";"Лицо";0
"Районы Московской области";"1998";"Лицо";0
"Районы Московской области";"1999";"Лицо";0
"Районы Московской области";"2000";"Лицо";0
"Районы Московской области";"2001";"Лицо";0
"Районы Московской области";"2002";"Лицо";0
"Балашихинский район";"Год рождения не указан";"Лицо";661
"Балашихинский район";"До 1903 года";"Лицо";6
"Балашихинский район";"1903";"Лицо";12
"Балашихинский район";"1904";"Лицо";9
"Балашихинский район";"1905";"Лицо";17
"Балашихинский район";"1906";"Лицо";10
"Балашихинский район";"1907";"Лицо";13
"Балашихинский район";"1908";"Лицо";27
"Балашихинский район";"1909";"Лицо";36
"Балашихинский район";"1910";"Лицо";60
"Балашихинский район";"1911";"Лицо";94
"Балашихинский район";"1912";"Лицо";129
"Балашихинский район";"1913";"Лицо";126
"Балашихинский район";"1914";"Лицо";218
"Балашихинский район";"1915";"Лицо";223
"Балашихинский район";"1916";"Лицо";198
"Балашихинский район";"1917";"Лицо";246
"Балашихинский район";"1918";"Лицо";404
"Балашихинский район";"1919";"Лицо";335
"Балашихинский район";"1920";"Лицо";437
"Балашихинский район";"1921";"Лицо";554
"Балашихинский район";"1922";"Лицо";625
"Балашихинский район";"1923";"Лицо";773
"Балашихинский район";"1924";"Лицо";903
"Балашихинский район";"1925";"Лицо";1083
"Балашихинский район";"1926";"Лицо";1264
"Балашихинский район";"1927";"Лицо";1328
"Балашихинский район";"1928";"Лицо";1376
"Балашихинский район";"1929";"Лицо";1385
"Балашихинский район";"1930";"Лицо";1697
"Балашихинский район";"1931";"Лицо";1435
"Балашихинский район";"1932";"Лицо";1648
"Балашихинский район";"1933";"Лицо";1203
"Балашихинский район";"1934";"Лицо";1286
"Балашихинский район";"1935";"Лицо";1565
"Балашихинский район";"1936";"Лицо";1819
"Балашихинский район";"1937";"Лицо";2374
"Балашихинский район";"1938";"Лицо";2392
"Балашихинский район";"1939";"Лицо";2329
"Балашихинский район";"1940";"Лицо";2241
"Балашихинский район";"1941";"Лицо";1984
"Балашихинский район";"1942";"Лицо";1345
"Балашихинский район";"1943";"Лицо";814
"Балашихинский район";"1944";"Лицо";1100
"Балашихинский район";"1945";"Лицо";1499
"Балашихинский район";"1946";"Лицо";2181
"Балашихинский район";"1947";"Лицо";2264
"Балашихинский район";"1948";"Лицо";2267
"Балашихинский район";"1949";"Лицо";2729
"Балашихинский район";"1950";"Лицо";2775
"Балашихинский район";"1951";"Лицо";2679
"Балашихинский район";"1952";"Лицо";2848
"Балашихинский район";"1953";"Лицо";2789
"Балашихинский район";"1954";"Лицо";3052
"Балашихинский район";"1955";"Лицо";3005
"Балашихинский район";"1956";"Лицо";3057
"Балашихинский район";"1957";"Лицо";3135
"Балашихинский район";"1958";"Лицо";3030
"Балашихинский район";"1959";"Лицо";3093
"Балашихинский район";"1960";"Лицо";3545
"Балашихинский район";"1961";"Лицо";3199
"Балашихинский район";"1962";"Лицо";3243
"Балашихинский район";"1963";"Лицо";2854
"Балашихинский район";"1964";"Лицо";2683
"Балашихинский район";"1965";"Лицо";2509
"Балашихинский район";"1966";"Лицо";2387
"Балашихинский район";"1967";"Лицо";2267
"Балашихинский район";"1968";"Лицо";2248
"Балашихинский район";"1969";"Лицо";2333
"Балашихинский район";"1970";"Лицо";2870
"Балашихинский район";"1971";"Лицо";2448
"Балашихинский район";"1972";"Лицо";2663
"Балашихинский район";"1973";"Лицо";2496
"Балашихинский район";"1974";"Лицо";2513
"Балашихинский район";"1975";"Лицо";2500
"Балашихинский район";"1976";"Лицо";2635
"Балашихинский район";"1977";"Лицо";2696
"Балашихинский район";"1978";"Лицо";2654
"Балашихинский район";"1979";"Лицо";2514
"Балашихинский район";"1980";"Лицо";2852
"Балашихинский район";"1981";"Лицо";2386
"Балашихинский район";"1982";"Лицо";2542
"Балашихинский район";"1983";"Лицо";2550
"Балашихинский район";"1984";"Лицо";2676
"Балашихинский район";"1985";"Лицо";2587
"Балашихинский район";"1986";"Лицо";2555
"Балашихинский район";"1987";"Лицо";2615
"Балашихинский район";"1988";"Лицо";2424
"Балашихинский район";"1989";"Лицо";2292
"Балашихинский район";"1990";"Лицо";2109
"Балашихинский район";"1991";"Лицо";1674
"Балашихинский район";"1992";"Лицо";1512
"Балашихинский район";"1993";"Лицо";1309
"Балашихинский район";"1994";"Лицо";1374
"Балашихинский район";"1995";"Лицо";1479
"Балашихинский район";"1996";"Лицо";1271
"Балашихинский район";"1997";"Лицо";1209
"Балашихинский район";"1998";"Лицо";1262
"Балашихинский район";"1999";"Лицо";1207
"Балашихинский район";"2000";"Лицо";1305
"Балашихинский район";"2001";"Лицо";1261
"Балашихинский район";"2002";"Лицо";968
"Волоколамский район";"Год рождения не указан";"Лицо";39
"Волоколамский район";"До 1903 года";"Лицо";0
"Волоколамский район";"1903";"Лицо";0
"Волоколамский район";"1904";"Лицо";0
"Волоколамский район";"1905";"Лицо";0
"Волоколамский район";"1906";"Лицо";8
"Волоколамский район";"1907";"Лицо";15
"Волоколамский район";"1908";"Лицо";13
"Волоколамский район";"1909";"Лицо";18
"Волоколамский район";"1910";"Лицо";28
"Волоколамский район";"1911";"Лицо";39
"Волоколамский район";"1912";"Лицо";43
"Волоколамский район";"1913";"Лицо";61
"Волоколамский район";"1914";"Лицо";87
"Волоколамский район";"1915";"Лицо";80
"Волоколамский район";"1916";"Лицо";80
"Волоколамский район";"1917";"Лицо";67
"Волоколамский район";"1918";"Лицо";123
"Волоколамский район";"1919";"Лицо";114
"Волоколамский район";"1920";"Лицо";116
"Волоколамский район";"1921";"Лицо";180
"Волоколамский район";"1922";"Лицо";240
"Волоколамский район";"1923";"Лицо";284
"Волоколамский район";"1924";"Лицо";334
"Волоколамский район";"1925";"Лицо";386
"Волоколамский район";"1926";"Лицо";423
"Волоколамский район";"1927";"Лицо";469
"Волоколамский район";"1928";"Лицо";512
"Волоколамский район";"1929";"Лицо";503
"Волоколамский район";"1930";"Лицо";586
"Волоколамский район";"1931";"Лицо";555
"Волоколамский район";"1932";"Лицо";505
"Волоколамский район";"1933";"Лицо";459
"Волоколамский район";"1934";"Лицо";446
"Волоколамский район";"1935";"Лицо";496
"Волоколамский район";"1936";"Лицо";643
"Волоколамский район";"1937";"Лицо";795
"Волоколамский район";"1938";"Лицо";741
"Волоколамский район";"1939";"Лицо";733
"Волоколамский район";"1940";"Лицо";623
"Волоколамский район";"1941";"Лицо";599
"Волоколамский район";"1942";"Лицо";358
"Волоколамский район";"1943";"Лицо";232
"Волоколамский район";"1944";"Лицо";232
"Волоколамский район";"1945";"Лицо";382
"Волоколамский район";"1946";"Лицо";565
"Волоколамский район";"1947";"Лицо";623
"Волоколамский район";"1948";"Лицо";635
"Волоколамский район";"1949";"Лицо";750
"Волоколамский район";"1950";"Лицо";688
"Волоколамский район";"1951";"Лицо";683
"Волоколамский район";"1952";"Лицо";682
"Волоколамский район";"1953";"Лицо";693
"Волоколамский район";"1954";"Лицо";754
"Волоколамский район";"1955";"Лицо";749
"Волоколамский район";"1956";"Лицо";759
"Волоколамский район";"1957";"Лицо";772
"Волоколамский район";"1958";"Лицо";796
"Волоколамский район";"1959";"Лицо";736
"Волоколамский район";"1960";"Лицо";827
"Волоколамский район";"1961";"Лицо";856
"Волоколамский район";"1962";"Лицо";815
"Волоколамский район";"1963";"Лицо";744
"Волоколамский район";"1964";"Лицо";688
"Волоколамский район";"1965";"Лицо";623
"Волоколамский район";"1966";"Лицо";595
"Волоколамский район";"1967";"Лицо";592
"Волоколамский район";"1968";"Лицо";546
"Волоколамский район";"1969";"Лицо";543
"Волоколамский район";"1970";"Лицо";652
"Волоколамский район";"1971";"Лицо";651
"Волоколамский район";"1972";"Лицо";650
"Волоколамский район";"1973";"Лицо";576
"Волоколамский район";"1974";"Лицо";662
"Волоколамский район";"1975";"Лицо";621
"Волоколамский район";"1976";"Лицо";622
"Волоколамский район";"1977";"Лицо";634
"Волоколамский район";"1978";"Лицо";651
"Волоколамский район";"1979";"Лицо";674
"Волоколамский район";"1980";"Лицо";706
"Волоколамский район";"1981";"Лицо";639
"Волоколамский район";"1982";"Лицо";657
"Волоколамский район";"1983";"Лицо";689
"Волоколамский район";"1984";"Лицо";806
"Волоколамский район";"1985";"Лицо";750
"Волоколамский район";"1986";"Лицо";852
"Волоколамский район";"1987";"Лицо";864
"Волоколамский район";"1988";"Лицо";724
"Волоколамский район";"1989";"Лицо";723
"Волоколамский район";"1990";"Лицо";651
"Волоколамский район";"1991";"Лицо";573
"Волоколамский район";"1992";"Лицо";525
"Волоколамский район";"1993";"Лицо";452
"Волоколамский район";"1994";"Лицо";418
"Волоколамский район";"1995";"Лицо";399
"Волоколамский район";"1996";"Лицо";409
"Волоколамский район";"1997";"Лицо";371
"Волоколамский район";"1998";"Лицо";352
"Волоколамский район";"1999";"Лицо";351
"Волоколамский район";"2000";"Лицо";369
"Волоколамский район";"2001";"Лицо";398
"Волоколамский район";"2002";"Лицо";309
"Воскресенский район";"Год рождения не указан";"Лицо";704
"Воскресенский район";"До 1903 года";"Лицо";0
"Воскресенский район";"1903";"Лицо";11
"Воскресенский район";"1904";"Лицо";0
"Воскресенский район";"1905";"Лицо";5
"Воскресенский район";"1906";"Лицо";15
"Воскресенский район";"1907";"Лицо";16
"Воскресенский район";"1908";"Лицо";30
"Воскресенский район";"1909";"Лицо";40
"Воскресенский район";"1910";"Лицо";72
"Воскресенский район";"1911";"Лицо";64
"Воскресенский район";"1912";"Лицо";124
"Воскресенский район";"1913";"Лицо";150
"Воскресенский район";"1914";"Лицо";167
"Воскресенский район";"1915";"Лицо";189
"Воскресенский район";"1916";"Лицо";168
"Воскресенский район";"1917";"Лицо";144
"Воскресенский район";"1918";"Лицо";241
"Воскресенский район";"1919";"Лицо";227
"Воскресенский район";"1920";"Лицо";304
"Воскресенский район";"1921";"Лицо";354
"Воскресенский район";"1922";"Лицо";486
"Воскресенский район";"1923";"Лицо";633
"Воскресенский район";"1924";"Лицо";798
"Воскресенский район";"1925";"Лицо";910
"Воскресенский район";"1926";"Лицо";1125
"Воскресенский район";"1927";"Лицо";1237
"Воскресенский район";"1928";"Лицо";1348
"Воскресенский район";"1929";"Лицо";1381
"Воскресенский район";"1930";"Лицо";1474
"Воскресенский район";"1931";"Лицо";1367
"Воскресенский район";"1932";"Лицо";1458
"Воскресенский район";"1933";"Лицо";1139
"Воскресенский район";"1934";"Лицо";1122
"Воскресенский район";"1935";"Лицо";1543
"Воскресенский район";"1936";"Лицо";1768
"Воскресенский район";"1937";"Лицо";2234
"Воскресенский район";"1938";"Лицо";2312
"Воскресенский район";"1939";"Лицо";2272
"Воскресенский район";"1940";"Лицо";2145
"Воскресенский район";"1941";"Лицо";2125
"Воскресенский район";"1942";"Лицо";1200
"Воскресенский район";"1943";"Лицо";685
"Воскресенский район";"1944";"Лицо";842
"Воскресенский район";"1945";"Лицо";1150
"Воскресенский район";"1946";"Лицо";1832
"Воскресенский район";"1947";"Лицо";2025
"Воскресенский район";"1948";"Лицо";1804
"Воскресенский район";"1949";"Лицо";2308
"Воскресенский район";"1950";"Лицо";2215
"Воскресенский район";"1951";"Лицо";2164
"Воскресенский район";"1952";"Лицо";2358
"Воскресенский район";"1953";"Лицо";2193
"Воскресенский район";"1954";"Лицо";2510
"Воскресенский район";"1955";"Лицо";2441
"Воскресенский район";"1956";"Лицо";2584
"Воскресенский район";"1957";"Лицо";2555
"Воскресенский район";"1958";"Лицо";2570
"Воскресенский район";"1959";"Лицо";2643
"Воскресенский район";"1960";"Лицо";2629
"Воскресенский район";"1961";"Лицо";2541
"Воскресенский район";"1962";"Лицо";2624
"Воскресенский район";"1963";"Лицо";2345
"Воскресенский район";"1964";"Лицо";2296
"Воскресенский район";"1965";"Лицо";2242
"Воскресенский район";"1966";"Лицо";2165
"Воскресенский район";"1967";"Лицо";1938
"Воскресенский район";"1968";"Лицо";1902
"Воскресенский район";"1969";"Лицо";2091
"Воскресенский район";"1970";"Лицо";2277
"Воскресенский район";"1971";"Лицо";2066
"Воскресенский район";"1972";"Лицо";2214
"Воскресенский район";"1973";"Лицо";2019
"Воскресенский район";"1974";"Лицо";2177
"Воскресенский район";"1975";"Лицо";2152
"Воскресенский район";"1976";"Лицо";2140
"Воскресенский район";"1977";"Лицо";2183
"Воскресенский район";"1978";"Лицо";2261
"Воскресенский район";"1979";"Лицо";2256
"Воскресенский район";"1980";"Лицо";2240
"Воскресенский район";"1981";"Лицо";2114
"Воскресенский район";"1982";"Лицо";2096
"Воскресенский район";"1983";"Лицо";2176
"Воскресенский район";"1984";"Лицо";2187
"Воскресенский район";"1985";"Лицо";2243
"Воскресенский район";"1986";"Лицо";2415
"Воскресенский район";"1987";"Лицо";2458
"Воскресенский район";"1988";"Лицо";2335
"Воскресенский район";"1989";"Лицо";2146
"Воскресенский район";"1990";"Лицо";2004
"Воскресенский район";"1991";"Лицо";1636
"Воскресенский район";"1992";"Лицо";1536
"Воскресенский район";"1993";"Лицо";1243
"Воскресенский район";"1994";"Лицо";1254
"Воскресенский район";"1995";"Лицо";1288
"Воскресенский район";"1996";"Лицо";1252
"Воскресенский район";"1997";"Лицо";1190
"Воскресенский район";"1998";"Лицо";1219
"Воскресенский район";"1999";"Лицо";1149
"Воскресенский район";"2000";"Лицо";1202
"Воскресенский район";"2001";"Лицо";1237
"Воскресенский район";"2002";"Лицо";940
"Дмитровский район";"Год рождения не указан";"Лицо";411
"Дмитровский район";"До 1903 года";"Лицо";9
"Дмитровский район";"1903";"Лицо";9
"Дмитровский район";"1904";"Лицо";7
"Дмитровский район";"1905";"Лицо";8
"Дмитровский район";"1906";"Лицо";13
"Дмитровский район";"1907";"Лицо";24
"Дмитровский район";"1908";"Лицо";42
"Дмитровский район";"1909";"Лицо";45
"Дмитровский район";"1910";"Лицо";72
"Дмитровский район";"1911";"Лицо";81
"Дмитровский район";"1912";"Лицо";136
"Дмитровский район";"1913";"Лицо";164
"Дмитровский район";"1914";"Лицо";215
"Дмитровский район";"1915";"Лицо";253
"Дмитровский район";"1916";"Лицо";183
"Дмитровский район";"1917";"Лицо";205
"Дмитровский район";"1918";"Лицо";338
"Дмитровский район";"1919";"Лицо";330
"Дмитровский район";"1920";"Лицо";356
"Дмитровский район";"1921";"Лицо";448
"Дмитровский район";"1922";"Лицо";686
"Дмитровский район";"1923";"Лицо";779
"Дмитровский район";"1924";"Лицо";892
"Дмитровский район";"1925";"Лицо";1023
"Дмитровский район";"1926";"Лицо";1131
"Дмитровский район";"1927";"Лицо";1294
"Дмитровский район";"1928";"Лицо";1386
"Дмитровский район";"1929";"Лицо";1354
"Дмитровский район";"1930";"Лицо";1504
"Дмитровский район";"1931";"Лицо";1414
"Дмитровский район";"1932";"Лицо";1456
"Дмитровский район";"1933";"Лицо";1279
"Дмитровский район";"1934";"Лицо";1242
"Дмитровский район";"1935";"Лицо";1448
"Дмитровский район";"1936";"Лицо";1645
"Дмитровский район";"1937";"Лицо";2186
"Дмитровский район";"1938";"Лицо";2224
"Дмитровский район";"1939";"Лицо";2094
"Дмитровский район";"1940";"Лицо";1904
"Дмитровский район";"1941";"Лицо";1879
"Дмитровский район";"1942";"Лицо";1073
"Дмитровский район";"1943";"Лицо";549
"Дмитровский район";"1944";"Лицо";758
"Дмитровский район";"1945";"Лицо";995
"Дмитровский район";"1946";"Лицо";1568
"Дмитровский район";"1947";"Лицо";1781
"Дмитровский район";"1948";"Лицо";1736
"Дмитровский район";"1949";"Лицо";2260
"Дмитровский район";"1950";"Лицо";2199
"Дмитровский район";"1951";"Лицо";2127
"Дмитровский район";"1952";"Лицо";2231
"Дмитровский район";"1953";"Лицо";2247
"Дмитровский район";"1954";"Лицо";2541
"Дмитровский район";"1955";"Лицо";2431
"Дмитровский район";"1956";"Лицо";2538
"Дмитровский район";"1957";"Лицо";2544
"Дмитровский район";"1958";"Лицо";2450
"Дмитровский район";"1959";"Лицо";2540
"Дмитровский район";"1960";"Лицо";2542
"Дмитровский район";"1961";"Лицо";2486
"Дмитровский район";"1962";"Лицо";2462
"Дмитровский район";"1963";"Лицо";2260
"Дмитровский район";"1964";"Лицо";2101
"Дмитровский район";"1965";"Лицо";1986
"Дмитровский район";"1966";"Лицо";1833
"Дмитровский район";"1967";"Лицо";1841
"Дмитровский район";"1968";"Лицо";1809
"Дмитровский район";"1969";"Лицо";1829
"Дмитровский район";"1970";"Лицо";1961
"Дмитровский район";"1971";"Лицо";1948
"Дмитровский район";"1972";"Лицо";2096
"Дмитровский район";"1973";"Лицо";1953
"Дмитровский район";"1974";"Лицо";2170
"Дмитровский район";"1975";"Лицо";2181
"Дмитровский район";"1976";"Лицо";2077
"Дмитровский район";"1977";"Лицо";2147
"Дмитровский район";"1978";"Лицо";2113
"Дмитровский район";"1979";"Лицо";2023
"Дмитровский район";"1980";"Лицо";2261
"Дмитровский район";"1981";"Лицо";2034
"Дмитровский район";"1982";"Лицо";2076
"Дмитровский район";"1983";"Лицо";2168
"Дмитровский район";"1984";"Лицо";2243
"Дмитровский район";"1985";"Лицо";2351
"Дмитровский район";"1986";"Лицо";2438
"Дмитровский район";"1987";"Лицо";2354
"Дмитровский район";"1988";"Лицо";1913
"Дмитровский район";"1989";"Лицо";1862
"Дмитровский район";"1990";"Лицо";1739
"Дмитровский район";"1991";"Лицо";1487
"Дмитровский район";"1992";"Лицо";1394
"Дмитровский район";"1993";"Лицо";1101
"Дмитровский район";"1994";"Лицо";1165
"Дмитровский район";"1995";"Лицо";1149
"Дмитровский район";"1996";"Лицо";1081
"Дмитровский район";"1997";"Лицо";1082
"Дмитровский район";"1998";"Лицо";1080
"Дмитровский район";"1999";"Лицо";1037
"Дмитровский район";"2000";"Лицо";1012
"Дмитровский район";"2001";"Лицо";1060
"Дмитровский район";"2002";"Лицо";948
"Домодедовский район";"Год рождения не указан";"Лицо";806
"Домодедовский район";"До 1903 года";"Лицо";11
"Домодедовский район";"1903";"Лицо";12
"Домодедовский район";"1904";"Лицо";6
"Домодедовский район";"1905";"Лицо";7
"Домодедовский район";"1906";"Лицо";9
"Домодедовский район";"1907";"Лицо";12
"Домодедовский район";"1908";"Лицо";13
"Домодедовский район";"1909";"Лицо";32
"Домодедовский район";"1910";"Лицо";49
"Домодедовский район";"1911";"Лицо";62
"Домодедовский район";"1912";"Лицо";96
"Домодедовский район";"1913";"Лицо";119
"Домодедовский район";"1914";"Лицо";138
"Домодедовский район";"1915";"Лицо";135
"Домодедовский район";"1916";"Лицо";147
"Домодедовский район";"1917";"Лицо";116
"Домодедовский район";"1918";"Лицо";245
"Домодедовский район";"1919";"Лицо";209
"Домодедовский район";"1920";"Лицо";259
"Домодедовский район";"1921";"Лицо";297
"Домодедовский район";"1922";"Лицо";387
"Домодедовский район";"1923";"Лицо";491
"Домодедовский район";"1924";"Лицо";601
"Домодедовский район";"1925";"Лицо";734
"Домодедовский район";"1926";"Лицо";836
"Домодедовский район";"1927";"Лицо";1010
"Домодедовский район";"1928";"Лицо";1066
"Домодедовский район";"1929";"Лицо";1062
"Домодедовский район";"1930";"Лицо";1099
"Домодедовский район";"1931";"Лицо";1130
"Домодедовский район";"1932";"Лицо";1140
"Домодедовский район";"1933";"Лицо";879
"Домодедовский район";"1934";"Лицо";864
"Домодедовский район";"1935";"Лицо";1032
"Домодедовский район";"1936";"Лицо";1387
"Домодедовский район";"1937";"Лицо";1701
"Домодедовский район";"1938";"Лицо";1774
"Домодедовский район";"1939";"Лицо";1738
"Домодедовский район";"1940";"Лицо";1573
"Домодедовский район";"1941";"Лицо";1489
"Домодедовский район";"1942";"Лицо";879
"Домодедовский район";"1943";"Лицо";556
"Домодедовский район";"1944";"Лицо";700
"Домодедовский район";"1945";"Лицо";842
"Домодедовский район";"1946";"Лицо";1371
"Домодедовский район";"1947";"Лицо";1498
"Домодедовский район";"1948";"Лицо";1501
"Домодедовский район";"1949";"Лицо";1861
